Date,^GSPC,TSLA,AMZN,META
2018-01-02,2695.81005859375,21.368667602539062,59.45050048828125,180.30844116210938
2018-01-03,2713.06005859375,21.149999618530273,60.209999084472656,183.53855895996094
2018-01-04,2723.989990234375,20.974666595458984,60.47949981689453,183.2006378173828
2018-01-05,2743.14990234375,21.10533332824707,61.457000732421875,185.7052001953125
2018-01-08,2747.7099609375,22.42733383178711,62.34349822998047,187.12640380859375
2018-01-09,2751.2900390625,22.246000289916992,62.6349983215332,186.71893310546875
2018-01-10,2748.22998046875,22.31999969482422,62.71649932861328,186.68911743164062
2018-01-11,2767.56005859375,22.530000686645508,63.83399963378906,186.61953735351562
2018-01-12,2786.239990234375,22.4146671295166,65.26000213623047,178.27099609375
2018-01-16,2776.419921875,22.67066764831543,65.24299621582031,177.29702758789062
2018-01-17,2802.56005859375,23.143999099731445,64.75,176.5118408203125
2018-01-18,2798.030029296875,22.971332550048828,64.66600036621094,178.6983642578125
2018-01-19,2810.300048828125,23.334667205810547,64.72899627685547,180.1792449951172
2018-01-22,2832.969970703125,23.437332153320312,66.3655014038086,184.2342529296875
2018-01-23,2839.1298828125,23.519332885742188,68.12699890136719,188.18988037109375
2018-01-24,2837.5400390625,23.05933380126953,67.87550354003906,185.4070281982422
2018-01-25,2839.25,22.50933265686035,68.89749908447266,186.33131408691406
2018-01-26,2872.8701171875,22.856666564941406,70.10250091552734,188.83587646484375
2018-01-29,2853.530029296875,23.302000045776367,70.88400268554688,184.84051513671875
2018-01-30,2822.429931640625,23.05466651916504,71.89099884033203,185.9735107421875
2018-01-31,2823.81005859375,23.62066650390625,72.54450225830078,185.74493408203125
2018-02-01,2821.97998046875,23.28333282470703,69.5,191.90695190429688
2018-02-02,2762.1298828125,22.916667938232422,71.49749755859375,189.1141815185547
2018-02-05,2648.93994140625,22.208667755126953,69.5,180.1494140625
2018-02-06,2695.139892578125,22.264667510986328,72.14199829101562,184.1746063232422
2018-02-07,2681.659912109375,23.0,70.83899688720703,179.07603454589844
2018-02-08,2581.0,21.01533317565918,67.5250015258789,170.52874755859375
2018-02-09,2619.550048828125,20.69466781616211,66.9800033569336,175.03099060058594
2018-02-12,2656.0,21.048667907714844,69.3115005493164,175.32916259765625
2018-02-13,2662.93994140625,21.577333450317383,70.72550201416016,172.08912658691406
2018-02-14,2698.6298828125,21.487333297729492,72.55249786376953,178.42010498046875
2018-02-15,2731.199951171875,22.271333694458008,73.08799743652344,178.85740661621094
2018-02-16,2732.219970703125,22.365999221801758,72.43450164794922,176.27333068847656
2018-02-20,2716.260009765625,22.31800079345703,73.4175033569336,174.93157958984375
2018-02-21,2701.330078125,22.219999313354492,74.14600372314453,176.81996154785156
2018-02-22,2703.9599609375,23.077999114990234,74.26699829101562,177.89332580566406
2018-02-23,2747.300048828125,23.469999313354492,75.0,182.1669921875
2018-02-26,2779.60009765625,23.827999114990234,76.09750366210938,183.79693603515625
2018-02-27,2744.280029296875,23.39933204650879,75.5989990234375,180.3482208251953
2018-02-28,2713.830078125,22.87066650390625,75.62249755859375,177.2274627685547
2018-03-01,2677.669921875,22.062000274658203,74.67250061035156,174.86203002929688
2018-03-02,2691.25,22.341333389282227,75.01249694824219,175.537841796875
2018-03-05,2720.93994140625,22.22333335876465,76.18049621582031,179.29469299316406
2018-03-06,2728.1201171875,21.8799991607666,76.88200378417969,178.67848205566406
2018-03-07,2726.800048828125,22.15333366394043,77.25,182.58441162109375
2018-03-08,2738.969970703125,21.940000534057617,77.59300231933594,181.2228240966797
2018-03-09,2786.570068359375,21.81133270263672,78.94450378417969,184.09510803222656
2018-03-12,2783.02001953125,23.034000396728516,79.91950225830078,183.6279754638672
2018-03-13,2765.31005859375,22.78933334350586,79.40899658203125,180.76565551757812
2018-03-14,2749.47998046875,21.775333404541016,79.55000305175781,183.0614776611328
2018-03-15,2747.330078125,21.706666946411133,79.11599731445312,182.73350524902344
2018-03-16,2752.010009765625,21.42333221435547,78.58399963378906,183.95596313476562
2018-03-19,2712.919921875,20.90399932861328,77.24649810791016,171.5027313232422
2018-03-20,2716.93994140625,20.703332901000977,79.32550048828125,167.1197509765625
2018-03-21,2711.929931640625,21.101999282836914,79.09300231933594,168.3521728515625
2018-03-22,2643.68994140625,20.606666564941406,77.24600219726562,163.87973022460938
2018-03-23,2588.260009765625,20.1026668548584,74.77799987792969,158.41342163085938
2018-03-26,2658.550048828125,20.278667449951172,77.79299926757812,159.07931518554688
2018-03-27,2612.6201171875,18.61199951171875,74.85250091552734,151.28733825683594
2018-03-28,2605.0,17.185333251953125,71.57099914550781,152.0924072265625
2018-03-29,2640.8701171875,17.742000579833984,72.36699676513672,158.81094360351562
2018-04-02,2581.8798828125,16.832000732421875,68.59950256347656,154.43792724609375
2018-04-03,2614.449951171875,17.8353328704834,69.60250091552734,155.1535186767578
2018-04-04,2644.68994140625,19.12933349609375,70.52850341796875,154.1497039794922
2018-04-05,2662.840087890625,20.381332397460938,72.5875015258789,158.36373901367188
2018-04-06,2604.469970703125,19.953332901000977,70.2614974975586,156.23683166503906
2018-04-09,2613.159912109375,19.310667037963867,70.30400085449219,156.96237182617188
2018-04-10,2656.8701171875,20.31333351135254,71.81099700927734,164.02880859375
2018-04-11,2642.18994140625,20.062000274658203,71.35250091552734,165.30096435546875
2018-04-12,2663.989990234375,19.60533332824707,72.42500305175781,162.865966796875
2018-04-13,2656.300048828125,20.022666931152344,71.53949737548828,163.51199340820312
2018-04-16,2677.840087890625,19.413999557495117,72.07499694824219,163.8201141357422
